JacksonDatabind_1,BeanPropertyWriter,TestPOJOAsArray
JacksonDatabind_2,TokenBuffer,TestConversions
JacksonDatabind_3,StringArrayDeserializer,TestArrayDeserialization
JacksonDatabind_4,StringArrayDeserializer,TestCollectionDeserialization
JacksonDatabind_5,AnnotatedClass,TestMixinMerging
JacksonDatabind_6,StdDateFormat,TestDateDeserialization
JacksonDatabind_7,TokenBuffer,TestCreatorsDelegating
JacksonDatabind_8,CreatorCollector,TestJdkTypes
JacksonDatabind_9,StdKeySerializer,TestMapSerialization
JacksonDatabind_10,BeanSerializerFactory|AnyGetterWriter,TestAnyGetter
JacksonDatabind_11,TypeFactory,TestJavaType|TestLocalType609
JacksonDatabind_12,MapDeserializer,TestCustomDeserializers
JacksonDatabind_13,ObjectIdValueProperty|DefaultDeserializationContext,TestObjectIdDeserialization
JacksonDatabind_14,ObjectReader,TestUpdateValue
JacksonDatabind_16,AnnotationMap,MixinsWithBundlesTest
JacksonDatabind_17,ObjectMapper,TestJsonNode
JacksonDatabind_18,MappingIterator,ReadRecoveryTest
JacksonDatabind_19,TypeFactory,TestMapConversions|TestTypeFactory|TestMapDeserialization
JacksonDatabind_22,BasicSerializerFactory|BeanSerializerFactory,TestJsonValue
JacksonDatabind_23,NumberSerializers,TestJsonSerialize2
JacksonDatabind_24,BaseSettings,TestConfig
JacksonDatabind_25,DeserializerCache|BasicDeserializerFactory|TypeDeserializerBase|SimpleAbstractTypeResolver,TestArrayDeserialization
JacksonDatabind_27,BeanDeserializer,TestExternalId
JacksonDatabind_28,JsonNodeDeserializer,TestObjectNode
JacksonDatabind_29,ExternalTypeHandler,TestExternalId
JacksonDatabind_30,ObjectMapper|TokenBuffer,TestExternalId
JacksonDatabind_31,TokenBuffer,TestTokenBuffer
JacksonDatabind_32,UntypedObjectDeserializer,TestUntypedDeserialization
JacksonDatabind_33,JacksonAnnotationIntrospector,TestUnwrapped
JacksonDatabind_34,NumberSerializer,NewSchemaTest
JacksonDatabind_35,AsWrapperTypeDeserializer,WrapperObjectWithObjectIdTest
JacksonDatabind_36,StdDateFormat,TestStdDateFormat
JacksonDatabind_37,SimpleType,Objecid1083Test
JacksonDatabind_38,MapType|SimpleType|CollectionType,DeprecatedTypeHandling1102Test
JacksonDatabind_39,NullifyingDeserializer,TestPolymorphicWithDefaultImpl
JacksonDatabind_40,NumberDeserializers,TestSimpleTypes
JacksonDatabind_41,TypeFactory,DeprecatedTypeHandling1102Test
JacksonDatabind_42,FromStringDeserializer,TestJdkTypes
JacksonDatabind_43,ObjectIdValueProperty,TestObjectIdSerialization
JacksonDatabind_44,SimpleType,TestSubtypes
JacksonDatabind_45,DateTimeSerializerBase,DateSerializationTest
JacksonDatabind_46,ReferenceType,TestJavaType
JacksonDatabind_47,AnnotationIntrospector,TestJsonSerialize|TestJsonSerializeAs
JacksonDatabind_48,SerializationConfig|DeserializationConfig,TestFeatures
JacksonDatabind_49,WritableObjectId,AlwaysAsReferenceFirstTest
JacksonDatabind_50,BeanDeserializer,ObjectWithCreator1261Test
JacksonDatabind_51,TypeDeserializerBase,TestCustomTypeIdResolver
JacksonDatabind_54,PropertyBuilder,TestJDKAtomicTypes
JacksonDatabind_55,StdKeySerializers,TestEnumSerialization
JacksonDatabind_56,FromStringDeserializer,TestJdkTypes
JacksonDatabind_57,ObjectReader,ReadValuesTest
JacksonDatabind_58,BeanDeserializerFactory,AccessFixTest
JacksonDatabind_60,JsonValueSerializer,TestDefaultWithCreators|ExternalTypeIdTest
JacksonDatabind_61,ObjectMapper|StdTypeResolverBuilder,DefaultTypingWithPrimitivesTest
JacksonDatabind_62,CollectionDeserializer,ArrayDelegatorCreatorForCollectionTest
JacksonDatabind_63,JsonMappingException,TestExceptionHandlingWithDefaultDeserialization|ExceptionPathTest|TestExceptionHandlingWithJsonCreatorDeserialization
JacksonDatabind_64,PropertyBuilder,JsonIncludeTest
JacksonDatabind_65,BasicBeanDescription|StdKeyDeserializer,KeyDeser1429Test
JacksonDatabind_66,StdKeyDeserializer,TestCustomEnumKeyDeserializer
JacksonDatabind_67,BasicDeserializerFactory,TestCustomEnumKeyDeserializer
JacksonDatabind_68,BeanDeserializerBase,SingleValueAsArrayTest
JacksonDatabind_69,CreatorCollector,Creator1476Test
JacksonDatabind_70,BeanPropertyMap,TestUnwrapped
JacksonDatabind_71,StdKeyDeserializer,TestMapDeserialization
JacksonDatabind_72,InnerClassProperty,InnerClassCreatorTest
JacksonDatabind_73,POJOPropertiesCollector|POJOPropertyBuilder,ReadOrWriteOnlyTest
JacksonDatabind_74,AsPropertyTypeDeserializer,TestPolymorphicWithDefaultImpl
JacksonDatabind_75,EnumSerializer,EnumFormatShapeTest
JacksonDatabind_76,BuilderBasedDeserializer,BuilderWithUnwrappedTest
JacksonDatabind_77,BeanDeserializerFactory,IllegalTypesCheckTest
JacksonDatabind_78,BeanDeserializerFactory,IllegalTypesCheckTest
JacksonDatabind_79,ObjectIdInfo|JacksonAnnotationIntrospector|BeanSerializerBase,AlwaysAsReferenceFirstTest
JacksonDatabind_80,StdSubtypeResolver,TestTypeNames
JacksonDatabind_81,JacksonAnnotationIntrospector,TypeCoercion1592Test
JacksonDatabind_82,BeanDeserializerFactory,IgnorePropertyOnDeserTest
JacksonDatabind_83,FromStringDeserializer,ProblemHandlerTest
JacksonDatabind_84,ResolvedRecursiveType,TestTypeFactoryWithRecursiveTypes
JacksonDatabind_85,DateTimeSerializerBase,DateSerializationTest
JacksonDatabind_86,ResolvedRecursiveType,TestTypeFactoryWithRecursiveTypes|RecursiveTypeTest
JacksonDatabind_87,StdDateFormat,TestDateDeserialization
JacksonDatabind_88,ClassNameIdResolver,GenericTypeId1735Test
JacksonDatabind_90,ValueInstantiator|StdValueInstantiator,DelegatingArrayCreator1804Test
JacksonDatabind_91,DeserializerCache,MapDeserializerCachingTest
JacksonDatabind_93,SubTypeValidator,IllegalTypesCheckTest
JacksonDatabind_94,SubTypeValidator,IllegalTypesCheckTest
JacksonDatabind_95,TypeFactory|TypeParser,TestTypeFactory
JacksonDatabind_96,BasicDeserializerFactory,CreatorWithNamingStrategyTest
JacksonDatabind_97,POJONode,POJONodeTest
JacksonDatabind_98,ExternalTypeHandler,ExternalTypeIdWithEnum1328Test
JacksonDatabind_99,ReferenceType,TestTypeFactory
JacksonDatabind_100,TreeTraversingParser,TestConversions
JacksonDatabind_101,BeanDeserializer,TestUnwrapped
JacksonDatabind_102,DateTimeSerializerBase,SqlDateSerializationTest
JacksonDatabind_104,StdDateFormat,DateSerializationTest
JacksonDatabind_105,JdkDeserializers,JDKScalarsTest
JacksonDatabind_106,TreeTraversingParser,TestTreeTraversingParser
JacksonDatabind_107,TypeDeserializerBase,ProblemHandlerUnknownTypeId2221Test
JacksonDatabind_108,ObjectReader,EmptyContentAsTreeTest
JacksonDatabind_109,NumberSerializers|NumberSerializer,BigDecimalPlain2230Test
JacksonDatabind_110,JavaUtilCollectionsDeserializers,UtilCollectionsTypesTest
JacksonDatabind_111,ObjectIdReferenceProperty|FieldProperty|AtomicReferenceDeserializer|SetterlessProperty|CreatorProperty|MethodProperty|ObjectIdValueProperty,JDKAtomicTypesDeserTest
JacksonDatabind_112,StringCollectionDeserializer,DelegatingArrayCreator2324Test
